age,gender,height_cm,weight_kg,body_fat_percent,diastolic,systolic,grip_force,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class
28,1,169.3,68.1,0.298,80,128,32.7,24.8,33,175,A
27,1,156.3,50.7,0.247,83,135,29.1,25,60,202,A
56,1,159.2,47.9,0.265,84,140,25,12.1,26,141,C
24,0,161.3,63.3,0.17,77,126,37.9,4.9,53,196,D
35,0,176.6,70.1,0.117,71,117,36.7,14.2,54,262,B
48,0,178.4,73.8,0.167,86,136,35.6,10.4,46,180,B
59,0,171,66.2,0.156,96,129,37.1,15.6,41,184,A
59,0,179.3,69.8,0.176,91,134,42.7,15.2,23,178,C
27,0,169.6,68.5,0.157,80,150,49.4,22.1,59,261,A
64,1,161.7,63.5,0.35,68,140,17,-6.1,0,70,D
21,1,171.9,69.5,0.321,98,142,27.4,17.6,34,141,C
33,0,174.8,69.4,0.136,97,153,55.7,17.7,59,241,A
28,0,175.8,93.3,0.335,80,137,42.6,11.5,38,215,D
43,0,167.8,68.24,0.211,82,118,39.5,12.5,31,214,D
21,1,167.9,57.6,0.259,72,117,24.1,24.4,52,196,B
29,0,179.4,77.6,0.165,82,141,46.1,27,54,248,A
51,0,167.4,56.4,0.132,77,123,30.8,9.2,46,212,C
26,0,183,91.5,0.142,89,152,59.8,24,52,218,A
60,1,160.1,60.3,0.35,75,136,27.3,15,11,101,C
25,0,168.4,67.3,0.185,91,126,39.9,16.8,45,198,B
22,1,164.5,54.6,0.219,84,130,31.9,23.3,40,185,A
60,0,173.2,80.5,0.231,98,154,46.9,8.6,48,211,C
22,1,158.1,76.1,0.407,67,106,26.3,5.2,29,137,D
63,0,162.6,68.7,0.177,93,187,46.5,18.6,34,189,A
32,0,173,74.7,0.12,84,122,53.8,23,76,274,A
26,0,172.3,118.6,0.354,79,144,57.3,3,29,195,D
25,1,173,66.2,0.273,73,110,35.4,26.3,43,183,A
27,1,158.4,51,0.263,75,118,25.9,13.1,39,148,C
25,0,169.7,53,0.181,90,140,36.4,17.3,34,174,D
38,0,158.9,69.9,0.36,86,147,30.1,2.5,26,145,D
24,0,177.5,83.2,0.198,89,144,47.6,21.6,48,254,D
21,0,171.1,57.7,0.139,75,142,44.6,13.6,50,229,B
53,0,170.9,66.86,0.198,88,140,46.8,-4.5,14,153,D
30,0,170.5,67.8,0.214,75,122,48.4,11,51,204,B
22,0,166,62.4,0.201,73,128,38.5,19.1,45,185,C
21,0,168.2,64,0.185,86,143,37.9,15.5,66,233,B
41,0,174.7,75.2,0.212,74,122,52,22,46,211,A
61,0,166.9,68,0.248,68,132,40.6,18.2,28,190,B
50,0,183.6,83.9,0.21,92,151,59.4,21.5,46,227,A
31,0,173.4,84.9,0.33,70,119,33.7,1.4,33,190,D
37,0,166.8,74.2,0.199,89,129,40.3,3.1,43,223,D
55,0,164.9,61.6,0.209,79,143,39.4,14.4,27,189,C
51,1,167.2,58.52,0.273,80,128,19.6,12.8,21,165,C
23,1,160.3,46.8,0.256,80,123,16,12.7,17,126,D
37,0,169.1,81.6,0.325,95,159,38.1,-6.3,38,161,D
50,0,175,76.9,0.249,88,138,42.5,13,36,198,C
23,0,168,57.3,0.101,57,112,45.6,14.9,50,242,B
48,0,177.1,67.8,0.141,69,126,41.8,16.2,56,208,A
42,0,169,72.3,0.236,90,110,46.6,20.7,46,240,A
24,1,154.7,62.4,0.299,66,100,33,22,49,179,A
22,0,170.9,57.1,0.099,70,116,40,12.1,49,226,B
54,1,155.9,62.7,0.358,96,153,27.5,10,12,100,D
42,0,171.5,91,0.303,97,132,42.8,3.2,27,203,D
25,1,164.9,67,0.324,72,118,28.6,15.4,35,149,B
50,0,168.8,76.8,0.232,82,132,43.1,5.5,39,197,C
24,0,174.5,79.94,0.119,86,147,55.3,20.2,62,268,B
32,0,184.7,85.6,0.16,76,153,55.1,26.1,50,237,B
61,0,171.2,60.9,0.133,68,134,37.7,-9.9,24,176,D
23,1,157.1,48.6,0.328,83,124,27.1,20.4,43,162,A
23,0,173.2,66.7,0.127,90,152,42.1,19.2,57,218,C
21,1,160.7,59.38,0.315,72,137,26.1,28.5,37,155,A
29,0,175.4,70.4,0.173,78,133,50.4,18,60,250,A
33,0,176.8,72.2,0.144,75,118,42.5,15.5,45,218,B
64,1,153.8,54.3,0.374,88,149,20.2,20,19,111,C
51,0,173.8,64.6,0.158,82,135,31.4,12.8,53,220,B
22,0,170.8,67.2,0.131,96,154,44.9,22.1,58,234,A
55,1,155.1,66.5,0.395,77,135,24.7,18.2,13,102,D
26,1,162.8,54.4,0.222,84,132,34.6,22.9,57,186,A
26,0,164.1,63.4,0.152,58,129,48.2,14.6,44,223,C
55,0,168.3,65.7,0.232,80,113,38.9,14.6,33,191,C
27,0,185.3,75.6,0.189,85,141,45.1,16.3,56,211,C
33,0,177.5,68,0.169,83,117,43.5,12.1,52,195,B
58,1,151.3,48.5,0.242,88,141,17.3,19,25,131,B
33,1,159.7,51.9,0.331,93,135,25.7,16.7,35,144,C
23,1,169.9,54.2,0.249,66,106,18.2,22.8,21,133,D
40,0,173.8,77.6,0.289,76,121,45.6,9.8,43,198,B
22,0,175.1,65.04,0.093,66,132,45.2,13.6,57,234,B
35,0,186.4,75.7,0.184,100,142,54.2,24,50,230,A
57,1,161.1,52.3,0.308,64,130,28.2,19.4,27,159,B
45,0,175.6,76.9,0.149,80,123,48.5,10.2,53,222,B
37,1,173.5,58.7,0.193,87,153,30.8,23.8,42,189,A
62,1,159.8,57.1,0.321,82,130,25.2,22.3,13,127,B
31,1,165,57.3,0.371,72,123,25.2,18,0,123,D
21,1,161.4,57.5,0.32,77,108,21.6,2.5,18,153,D
56,1,158.4,49.3,0.26,76,116,21.3,9,5,116,D
21,0,173.7,63.2,0.093,79,139,40.3,13.1,57,244,B
32,0,172.8,76.1,0.168,54,118,57.4,18.3,55,239,A
27,0,173.5,74.5,0.186,65,121,35.3,14.1,50,230,C
27,1,164.7,61.7,0.353,62,107,25.7,14.6,47,117,C
28,1,158,51.9,0.263,90,135,24.1,30.9,70,191,A
47,0,173.2,80.4,0.249,68,113,39.6,-1,37,182,D
24,0,179.7,72.3,0.19,90,148,41.3,14.1,55,229,C
28,0,176.8,85.9,0.249,66,121,48.2,6.3,49,226,C
25,0,164.9,71.7,0.206,83,138,40.1,18.7,70,223,B
62,0,167.7,78.9,0.309,87,150,36.3,7.1,26,174,B
25,0,185.9,78.76,0.183,72,119,49.3,5,39,219,D
26,1,157.7,52.9,0.268,76,125,32.1,19,47,173,A
39,1,158.5,57.1,0.289,65,130,28,20.1,21,139,C
26,0,178.9,82.8,0.223,89,132,52.7,11.6,44,192,C
37,0,171.2,79.1,0.236,82,148,55.8,14.4,33,214,D
29,0,182.4,91.3,0.199,91,159,60,25.5,51,215,A
57,1,167,56.4,0.218,82,126,27.9,23.1,37,165,A
61,0,170,72.6,0.223,83,158,30.9,6.3,24,165,C
57,0,164.9,60.7,0.159,86,151,41.5,7.2,33,182,C
27,1,159,50.8,0.285,82,133,26.7,22.5,32,148,B
36,0,159,51.5,0.246,67,111,21.2,14,26,129,D
38,0,167,63,0.098,70,115,43.3,24.21,49,228,A
29,0,181.4,81.12,0.252,78,131,43,8.1,42,178,C
31,0,178.3,79.1,0.137,78,129,55.3,15,46,217,B
25,1,163.3,53.4,0.249,88,138,33.7,21.1,43,169,A
39,0,167.5,72.8,0.248,75,142,37.7,8.6,46,205,C
23,0,168.2,65.8,0.188,73,130,42.8,12.5,48,213,B
21,0,170.9,71.1,0.129,82,142,40.4,22.2,57,249,C
33,0,172.8,70.2,0.289,68,103,39.8,7.8,40,199,C
29,0,175.6,84.5,0.211,78,107,65.2,12.5,49,240,B
23,1,161.6,52.4,0.304,84,137,26,13,36,185,C
42,1,162.7,69.1,0.351,77,123,23.3,21,16,136,D
28,1,160.9,67.2,0.37,80,123,31.2,23.2,32,163,B
48,0,177.5,78.5,0.166,83,139,47.8,-0.5,60,212,D
22,1,157.9,47.2,0.209,67,117,25.7,23.6,46,188,A
21,1,162.7,57.2,0.268,72,104,26.6,34.4,43,188,A
38,0,168,75.8,0.269,80,120,55.4,23,61,253,A
41,1,163,64.2,0.348,70,116,24.6,4,17,131,D
33,0,169.9,72.1,0.246,71,133,37.4,10.5,47,194,C
60,0,164.9,70.4,0.304,94,156,37.6,14.8,27,162,B
64,0,164.3,66.82,0.158,78,141,43.3,19.3,41,178,A
27,1,158.9,58.9,0.339,76,122,23.2,14.4,35,165,B
48,0,190,85.9,0.062,90,120,56.9,16.8,39,219,C
23,0,171.7,79.7,0.188,84,145,46.1,2.4,47,222,D
52,1,165.4,61.06,0.335,87,129,23.6,19.6,24,122,C
52,1,156.5,61.1,0.371,93,152,28.8,21.9,21,147,B
64,1,149.4,55,0.332,91,152,23,21,30,101,A
34,0,167.3,71.8,0.319,94,125,33.5,9.2,30,192,D
27,0,172.2,69.4,0.141,96,144,48.2,23.9,59,235,A
28,1,160.1,59.6,0.285,61,103,28.4,19.9,46,183,A
35,0,176.4,66.3,0.205,79,141,46.7,14.7,42,238,B
32,0,172.3,69.6,0.179,73,151,39.6,-0.6,46,214,D
62,0,170.5,75.8,0.274,92,159,33.4,12.4,32,177,B
47,0,174,86.2,0.253,95,146,38,19.4,49,201,B
37,1,162.8,56.9,0.165,97,134,31,31.2,67,203,A
46,1,161.2,60.5,0.281,83,132,21.8,19.1,31,155,B
46,1,167.5,57.5,0.231,91,136,24.9,14,20,146,C
36,0,177.6,88.5,0.247,91,139,43.4,6.3,32,178,D
41,1,160.5,67.9,0.336,71,116,27.7,20,7,164,D
60,0,164.9,67.56,0.25,80,120,39,4.5,24,174,C
43,0,173.6,74.4,0.213,81,110,48.5,13.7,58,220,B
30,1,158.2,57.4,0.271,94,134,35.7,13.22,29,148,C
39,1,156.4,55.5,0.331,67,111,20.3,10.2,20,155,D
21,0,165.9,64,0.157,88,147,39.7,17.5,57,218,B
37,0,167.7,77.3,0.278,102,146,49.1,15.6,57,226,A
32,0,170.3,76.9,0.2,71,138,41.9,19.1,50,230,A
64,0,169.8,84.9,0.23,96,153,50.7,12.9,32,170,A
26,0,176.7,72.4,0.08,67,127,51.7,21.4,56,260,A
50,0,166,64.3,0.237,76,118,32.6,5.1,24,180,D
30,1,152.4,47.8,0.206483,73,120,26,27.8,46,167,A
22,1,156.5,54.2,0.27,79,123,31.6,14.2,38,121,C
38,0,171.7,77,0.269,84,138,45.9,7.5,27,201,D
26,1,160,48.36,0.298,70,123,21,22,22,132,C
64,1,147,52.4,0.36,70,115,24.1,24.7,17,126,A
56,0,166.8,64,0.214,75,132,50.7,13,36,197,B
35,0,181.2,77.5,0.148,64,123,49,9.1,49,203,C
26,0,166.3,67.2,0.224,75,137,45.5,16.8,49,241,B
27,1,174.3,57,0.123,71,124,33.9,30.1,68,201,A
43,0,176.5,80.62,0.207,99,146,48.4,15.6,48,211,C
27,1,169.8,64.4,0.244,72,112,30.1,22.3,19,141,D
45,0,166.9,68.2,0.244,77,141,47.6,16,50,198,A
43,1,164,58.6,0.303,73,118,29.7,16.8,31,156,B
24,1,165.6,53.3,0.216,69,113,25.8,26.5,40,185,A
21,1,157.6,55.3,0.336,63,102,26.3,21.4,36,172,A
23,0,163,61.16,0.124,65,124,38.3,20.8,54,218,B
26,0,166,67.3,0.236,75,140,32.6,16.1,48,220,B
27,1,166,46.6,0.175,65,104,23.1,21.5,23,176,C
60,1,159.9,62.7,0.359,83,134,23.3,8.9,5,78,D
55,1,155.1,47.7,0.2560989,88,123,26.8,29.2,31,146,B
38,0,172.2,94.5,0.334,93,149,42.3,8.8,47,202,D
63,1,167.8,68.6,0.36,89,151,27.3,22.1,18,126,C
53,1,158.8,56.8,0.336,69,126,25.6,19.7,23,146,B
64,1,157.8,60.4,0.349,82,150,24,17.2,4,95,D
23,0,169,86.22,0.339,68,124,42.8,5.4,41,198,D
24,0,174.9,70.5,0.151,71,130,35.7,16.5,61,219,A
30,1,148.8,44.3,0.292,67,104,20.4,12.3,28,128,C
51,0,161.2,56.3,0.237,93,136,31.3,7.2,20,183,D
58,0,175.9,77.3,0.209,85,154,44.4,7.4,35,190,C
41,0,185.2,88.66,0.203,98,148,37.9,4.5,46,229,D
49,1,157.9,53,0.361,63,157,19,13.1,0,140,D
22,0,163.9,69.4,0.17,82,149,50.3,17.4,66,222,B
63,1,157.4,55.82,0.403,82,147,21.2,13.2,4,103,D
56,1,152.1,57.3,0.284,73,140,16.9,22.5,0,126,D
28,0,174.6,78.2,0.2,78,138,49.1,16.6,51,225,A
50,1,166.7,62.6,0.31,61,101,23.1,15,20,52,C
35,0,164.9,77.5,0.304,71,124,52.4,7,30,195,D
21,0,168.7,70.3,0.266,75,117,42.4,8.6,47,196,C
47,0,171.9,73.2,0.179,81,145,47.8,14.7,50,193,B
24,1,162.4,63.1,0.31,83,119,31.8,20.7,54,222,A
43,1,161.3,60.1,0.302,70,111,26.7,18,20,143,C
54,1,155.6,62.3,0.364,72,130,22.9,18.5,5,113,D
22,1,160.5,50.48,0.267,71,123,22.8,26,43,188,A
63,1,145.6,40.9,0.236,97,159,23.1,19.7,8,143,C
27,0,176.4,76.2,0.209,83,131,49.4,2.3,58,217,D
30,0,185,101.6,0.2,87,145,43.5,16.9,49,253,D
30,0,172.2,66.68,0.194,70,121,43.5,11.2,47,205,C
56,0,173.8,89.3,0.248,98,147,40.3,17.5,42,219,D
21,1,164.9,54.58,0.232,78,114,22.8,33.3,30,184,C
28,0,176.2,62.86,0.189,71,130,38,17,59,239,A
40,0,174.4,88.2,0.302,96,141,50.1,5.4,34,213,D
44,0,170.5,71.6,0.225,71,117,52.1,11.3,41,195,C
61,1,160.6,67.26,0.278,71,109,25.6,13.9,10,84,C
38,1,162,63,0.426,81,123,24,15.1,22,129,C
21,1,162.3,63.4,0.301,91,139,27.3,21.8,54,197,B
24,0,187.6,81.22,0.16,78,133,60.6,16.5,52,235,C
27,0,173.4,72.4,0.147,71,128,57.8,16.1,46,221,B
21,1,158.5,48.8,0.225,61,102,29.1,21.7,36,169,A
46,0,169.4,69.6,0.172,86,144,46.1,25.5,51,202,A
60,1,143.4,52.2,0.342,99,151,26.1,21.8,22,71,B
60,0,171.4,66.4,0.267,69,108,38.7,10.9,31,213,C
25,0,174.3,58.5,0.11,91,135,43.2,12.4,46,216,B
37,0,176.1,74.3,0.181,71,125,39.3,13.5,46,232,B
24,0,177.6,76.5,0.066,67,142,50.3,19.7,63,248,B
40,0,172,77.3,0.21,79,118,55.1,16,41,186,C
25,1,164.9,47.1,0.213,59,98,22.9,16,22,163,C
30,0,181,81.88,0.155,80,120,43.3,14.9,59,223,B
29,0,170.7,66.4,0.165,77,122,48.7,17.1,55,230,A
54,1,158.7,63,0.386,69,115,29.9,12.6,14,118,D
24,0,175.8,69.3,0.212,76,133,50.4,15.6,51,222,B
35,0,185.2,81.1,0.127,70,129,53.5,15,58,246,A
21,0,177.6,75.6,0.218,85,138,40.7,20.2,63,231,A
37,0,179.7,79.3,0.229,89,155,41.2,16.8,45,210,C
23,1,163.1,69,0.307,68,114,30,25.5,44,178,A
27,1,164.4,52.6,0.247,61,109,28.3,22.3,51,172,A
45,0,178.8,74,0.114,71,125,47.4,28.2,47,222,A
23,1,168.5,59.6,0.157,97,140,38.2,24.4,55,171,A
21,1,164,66.5,0.314,95,148,30.1,24,39,185,B
42,1,155.9,55.1,0.289,88,136,27.7,15,26,160,B
29,1,167.9,60.7,0.22,73,113,34.7,21.9,43,170,C
27,1,152.5,47.9,0.318,60,111,16.5,23.2,16,137,D
29,1,165.2,53,0.201,62,102,27.1,20.9,45,153,B
38,0,171.9,78,0.21,77,131,43.2,8.7,44,224,C
28,0,174.3,72.5,0.079,81,127,62.8,19.9,56,248,A
60,1,150.7,60.6,0.342,60,108,16.5,12.4,10,103,D
21,1,166.2,74,0.357,66,125,36.8,14.8,41,186,D
23,1,155.2,53.5,0.348,59,115,31.8,16.5,46,180,B
44,0,170.2,70.4,0.204,92,132,39.4,9.8,41,224,B
56,0,164.7,66.3,0.247,69,147,38.5,11.3,33,185,B
23,0,172,65,0.18,61,124,31.8,-1.2,28,216,D
27,0,164.5,67.8,0.153,60,124,47.3,16.4,53,244,A
21,0,173.5,77.1,0.191,60,108,36.1,20.6,61,233,C
35,0,172.3,76.6,0.197,92,144,40,18.3,46,209,C
60,1,149.4,52.4,0.277,86,111,14.6,19.9,32,138,D
21,0,171.9,67.3,0.199,69,135,36.7,21.9,50,229,C
41,1,165.1,57.2,0.301,92,143,19.7,9.4,21,159,D
31,0,171.5,72.3,0.304,95,151,39.3,6.3,45,189,D
22,1,157.6,54.5,0.285,69,114,23.5,22.5,44,162,A
27,0,173,78.9,0.201,64,113,52,19.8,53,247,A
63,1,153.7,53.3,0.303,69,120,17.8,16.3,1,35,D
34,0,176,70.4,0.231,83,127,47.1,16.8,43,226,B
45,1,164.2,55,0.272,67,125,27.4,18.6,34,161,C
37,0,172.5,71.6,0.198,77,140,43,17.7,46,202,C
28,1,167.2,53,0.21,66,111,20.2,13,36,165,C
25,0,184.5,85.9,0.186,72,118,46.5,17,52,195,B
25,1,164.4,54.4,0.3,58,116,24.4,24.6,50,168,B
22,0,169.4,57.2,0.107,69,119,33.9,0,65,250,D
43,0,167,60.58,0.115,64,125,45.4,14.4,52,238,A
54,1,149.3,48.7,0.266,70,118,21.3,15.9,26,149,B
21,0,173,67.8,0.079,81,123,46.5,17.6,58,245,A
25,0,171.7,66,0.116,82,131,47.3,16.9,64,241,A
36,0,177.5,73.1,0.138,82,135,50.8,19.1,64,252,C
52,0,169.1,70.5,0.245,85,136,43,10.9,27,204,C
25,0,176.4,96.96,0.294,93,152,43.2,11.9,42,214,D
62,1,159.2,50.8,0.271,71,128,25.6,24.2,22,147,A
28,1,169,69.1,0.304,66,113,35,22.1,40,166,A
48,0,172.3,92.2,0.32,92,147,35.3,6.3,23,202,D
30,0,176.9,77.9,0.196,96,141,40.6,13.4,53,256,B
60,1,152,49.8,0.267,63,122,22.4,10.9,20,111,D
24,1,155,49.7,0.335,76,130,23.2,18,36,155,C
62,1,149.1,42.3,0.186,67,101,22.6,19,25,122,B
25,1,166.1,54.8,0.216,76,121,35.4,32.2,49,210,A
47,0,171.2,71.3,0.256,96,131,45,5.3,28,203,D
44,0,169.4,73.8,0.245,96,133,39.5,6.7,23,196,D
41,0,173.3,73.9,0.231,84,135,39,15.1,33,214,C
45,0,182,91.4,0.226,97,153,55.3,9,36,243,C
24,0,177.9,67.5,0.199,67,125,36.9,9.7,46,222,C
44,0,176.1,71.94,0.154,63,114,32.8,4.6,28,180,D
57,1,161.3,70.4,0.354,75,130,32.1,12.5,13,107,D
43,1,164.4,56.6,0.222,71,114,30.9,22.8,43,162,A
24,1,157,52.6,0.244,74,115,21.9,20.3,43,174,A
27,0,181.2,90.7,0.245,77,146,47,12.9,58,199,D
40,1,162.9,51.3,0.217,82,123,27.9,16.4,38,167,B
23,1,156,55.1,0.168,80,120,35.3,15.3,30,166,C
49,1,162.2,59.9,0.27,68,106,31.3,18,24,145,B
64,0,167.4,61.5,0.241,84,139,35,6.2,18,165,D
32,0,178,73.9,0.223,82,131,38,-18.7,33,158,D
53,0,166,64.6,0.189,78,148,40.8,17,32,221,B
59,0,166.5,67.6,0.286,77,136,36.1,4,37,149,C
26,0,172.3,71.6,0.235,60,125,40.6,10.3,33,181,D
49,1,154.6,54,0.318,96,151,24.3,25.3,0,160,D
31,0,168.1,63.4,0.176,70,130,39.4,23.4,49,185,B
24,0,182.1,80.1,0.202,84,147,50.7,8.2,37,168,D
27,0,175.3,63.5,0.181,77,120,40.5,26.9,40,227,C
63,1,164.7,81.2,0.384,69,117,23.2,22.6,12,129,D
28,0,179.6,66,0.236,85,139,40.8,5.6,38,213,C
27,0,174.3,66.1,0.164,97,153,39,-4.5,51,234,D
30,0,174.9,74.1,0.202,69,123,46,15.3,48,239,A
48,0,159.8,62.2,0.231,89,146,40.3,19.3,56,197,A
24,0,177.4,79.6,0.218,92,150,53.8,25.6,56,259,A
21,0,176.5,71.4,0.143,66,135,45.1,17.3,52,280,B
55,1,157.1,56.1,0.314,76,132,28.6,19.9,24,129,A
32,0,171.2,66.6,0.156,82,132,43,18,54,232,A
31,0,177.3,72,0.292,85,133,37,-7.8,17,202,D
31,1,165.2,55,0.218,67,107,26.7,21.7,25,186,B
36,1,160.3,62.16,0.322,80,120,29.8,19.8,26,166,B
28,0,178,79.7,0.19,75,137,42.7,7.4,52,204,C
36,0,176.3,79.8,0.154,92,132,54.9,21.4,55,262,A
26,0,171.4,72.6,0.179,84,122,51.3,18,53,205,A
28,0,187.9,79.3,0.135,81,156,53.5,28,50,239,B
64,1,149.8,64.6,0.436,76,146,16.9,12.8,2,83,D
63,0,169.8,77.9,0.307,92,152,32.6,6.5,12,166,D
31,0,171.2,74,0.245,84,123,52.9,5.8,54,193,C
31,1,164.5,51.84,0.199,75,124,24.2,21.2,41,196,A
31,0,186.4,79.9,0.181,80,115,49.7,10.1,53,222,B
21,0,175,61.8,0.11,65,120,40.3,11.9,48,232,B
40,0,171,75.8,0.252,96,139,38.3,-5.4,33,201,D
24,0,187,104,0.276,80,120,39,-8.5,25,180,D
34,0,169,80.2,0.202,92,148,47.6,27,55,237,C
40,0,171.3,75.2,0.207,64,111,44.4,15.4,41,220,B
26,0,169.8,82.12,0.372,111,167,42.3,9.2,28,185,D
26,0,173.5,75.3,0.17,72,129,46.2,19.4,54,238,A
31,0,162.6,73.8,0.247,68,103,42.4,19.1,56,230,A
21,0,186.4,64.5,0.087,76,129,29.6,24.2,57,255,C
21,1,159.5,56.3,0.373,62,103,21.9,17,24,115,C
61,1,155.7,49.6,0.252,64,131,19.7,23,16,120,B
23,1,159.6,44.8,0.228,76,138,25.3,22.6,52,166,A
49,1,148.1,63.7,0.397,82,138,20.7,10.6,0,73,D
49,0,178,86.7,0.235,96,147,46.6,-0.9,30,186,D
38,1,157.5,55.6,0.342,60,94,25.3,15,23,165,C
55,1,163.7,52,0.294,64,127,25.2,17.6,40,151,B
25,0,186.1,97.4,0.256,64,135,66.8,-14.6,36,199,D
37,0,179.9,77.4,0.199,71,114,48.7,12.5,55,210,B
21,1,157.4,55,0.231,63,110,28.3,22.8,39,167,A
40,0,176.4,93.8,0.32,76,133,48.2,-5.8,27,154,D
28,1,159.7,56.8,0.209,75,119,25.3,19.1,56,172,A
23,1,171.4,57.6,0.249,74,119,32.2,17.3,43,172,B
44,1,162.2,60.3,0.202,85,141,31.5,31.2,38,188,A
22,0,173.3,90.9,0.295,72,153,40.6,-3.7,30,218,D
64,0,174.5,89.8,0.316,80,140,43.6,13.6,39,175,B
22,1,165.8,56.2,0.311,80,127,21.8,17.9,27,109,C
48,1,161.8,55.1,0.172,67,127,31.2,23.4,51,181,A
27,1,168.2,67.24,0.294,83,124,37.5,26,45,173,A
36,0,167.7,64.7,0.188,71,117,38.3,4.8,35,210,C
22,0,183.5,81.2,0.178,73,130,46,17.1,57,241,D
28,0,167.5,71,0.306,63,111,37.4,-10.5,34,183,D
25,1,159.1,55.3,0.232,79,136,27.5,22,45,173,A
27,0,181.2,73.8,0.227,69,125,40.1,18.2,49,228,C
60,0,160.6,64.8,0.297,98,139,30.2,12.8,18,179,D
60,1,159.2,68.8,0.386,76,118,22.4,14.9,0,66,D
47,1,164.6,60.4,0.326,79,119,24.1,15.4,21,150,C
48,0,173.6,75.8,0.244,77,117,42.8,21.1,44,201,B
25,0,180.7,77.1,0.179,86,146,45.8,17.8,52,227,B
31,0,171.7,79.7,0.232,77,136,51.1,15.1,40,240,C
32,0,170.7,73.4,0.191,87,140,48.1,8.4,40,190,C
23,1,159.5,56,0.259,58,119,28.2,32,46,171,A
60,0,168.8,66.7,0.192,83,131,50.3,18.6,41,198,A
43,0,171.2,75.6,0.203,95,152,44.3,23.6,60,245,A
39,0,164.8,68.98,0.225,85,148,43.2,12.5,48,206,B
34,1,167.4,82.9,0.297,80,160,34.8,1,0,112,D
33,0,171.7,71.62,0.21,65,116,51.3,23.8,47,224,A
40,0,174.1,87.2,0.206,81,118,37.7,18.8,46,234,B
49,0,172.3,78.3,0.274,83,143,43.4,-8,29,161,D
48,1,159.7,60,0.267,61,110,31.8,20.4,37,188,A
25,0,175.9,66.2,0.13,91,139,43.7,6.6,50,229,C
62,1,154,52.6,0.34,92,154,27.5,23.5,4,114,D
24,0,176.3,73.58,0.139,65,146,59.5,22.4,61,235,A
26,1,167.8,60.2,0.265,67,124,27.6,16.3,42,160,B
25,0,166.2,73.2,0.157,60,114,44.9,28.6,60,251,A
37,0,175.3,65,0.081,72,142,43.2,26,58,227,A
47,0,169.2,69.2,0.154,97,141,47.3,18.2,47,230,A
64,0,163.8,70.3,0.292,79,120,24.9,4.4,17,151,D
38,0,169,74.8,0.192,85,129,31.7,9.1,35,204,C
26,0,166.7,68.2,0.225,87,142,45.3,8.1,31,186,D
28,0,174.7,76.7,0.168,86,130,40.4,21,49,251,B
32,1,152.7,47.3,0.27,90,145,27.2,21.1,37,160,A
54,0,170.7,72.2,0.28,95,142,38.4,7.7,26,169,C
45,0,173.9,64,0.147,87,157,45.6,13.5,43,211,B
44,0,170.1,73.3,0.197,79,138,43.3,21.2,48,221,C
26,1,164.5,50.8,0.209,84,121,28.1,31.4,53,170,A
35,0,186.2,80.5,0.161,76,110,54.8,11.8,40,254,B
21,1,156.4,58.1,0.285,60,124,30.6,17.8,47,177,B
22,0,168.4,80.2,0.256,66,141,44.3,17,41,209,D
37,1,165.1,104.7,0.483,86,148,28.1,12.2,16,146,D
21,0,185.3,76.9,0.175,74,120,43.1,21.3,35,179,D
21,1,167.8,55.2,0.24,73,129,24.8,19.2,47,144,D
61,0,178.5,74.6,0.164,97,156,54.5,15.2,43,155,B
28,0,171.7,78,0.242,89,146,50.1,11,62,245,C
48,0,181.4,100.1,0.26,99,153,46.5,-6.8,28,214,D
24,1,167.2,62.7,0.233,69,127,30.2,24.1,49,197,A
33,0,178.2,72.1,0.171,81,135,48.2,20.8,60,221,B
22,0,174.4,69.3,0.18,73,131,33.9,16.7,55,242,C
21,0,172.9,75,0.145,64,123,47.1,14.9,59,220,B
63,0,169.7,67.1,0.204,79,129,43.8,9.5,32,190,B
24,1,177.3,63.3,0.253,83,149,26.8,22.8,36,176,A
44,0,172.4,74.8,0.187,75,120,45.2,13.7,58,194,B
34,0,175.1,71.5,0.182,79,122,46.4,9.9,44,227,B
27,1,164,51,0.204,75,122,25.3,19.4,36,163,A
59,1,146.3,52.9,0.328,81,150,23.9,20,11,144,C
64,0,164.3,68,0.281,73,131,39.3,10.9,32,184,B
22,0,184.5,74.1,0.135,93,129,45.4,14.8,47,211,C
35,1,151.5,78,0.4,80,120,29.4,18.2,30,166,D
50,1,166.6,56,0.171,78,115,31.1,21.8,23,153,B
29,0,177.9,85.7,0.269,94,158,47.4,17.2,44,219,D
51,0,168.2,73.1,0.244,61,144,41.1,7.6,36,213,C
32,0,176.7,77.1,0.24,93,140,53,14.7,42,252,C
45,0,173.4,73.5,0.169,83,117,45.9,16,50,218,A
38,0,172.4,69.3,0.201,70,126,38.2,14.7,63,214,A
25,1,161.5,48.5,0.293,65,118,19.9,8.8,45,182,D
33,1,161,47.9,0.218,76,122,17.9,27.2,27,168,B
33,0,165.6,60.4,0.178,81,127,38.6,213,53,244,B
37,1,150.4,47.7,0.415,65,114,15.9,8.7,6,112,D
25,0,171.4,64.7,0.129,76,144,40.1,20.2,59,250,A
43,1,168.1,54.5,0.203,99,143,24.4,21,32,120,B
40,1,162.6,54.2,0.31,75,116,19.1,24.2,16,141,D
27,1,159.2,56.7,0.28,61,104,27.8,24.1,40,181,A
64,1,154.7,50.2,0.3568,78,128,18.7,6.8,0,59,D
